축제명,개최장소,축제시작일자,시작일_정리,축제종료일자,종료일_정리,축제내용,주관기관명,주최기관명,후원기관명,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위치,위도,경도,데이터기준일자,제공기관코드,제공기관명
신년 해맞이축제,하늘공원,2026-01-01,20260101.0,2026-01-01,20260101.0,"대북타고, 신년덕담, 일출감상 등",서울특별시 마포구,서울특별시 마포구,,02-3153-8353,https://www.mapo.go.kr/site/culture/index,,서울특별시 마포구 하늘공원로 95,서울특별시 마포구 상암동 481-72,서울,,,2025-05-09,3130000,서울특별시 마포구
마곡위시빌리지,마곡문화의거리,2025-12-01,20251201.0,2025-12-01,20251201.0,경관조성+공연 등,서울특별시 강서구,서울특별시 강서구,서울특별시+강서구의회,02-2600-5890,https://www.mapo.go.kr/site/culture/index,,서울특별시 강서구 마곡동로4길23,서울특별시 강서구 마곡동 797-13,서울,,,2025-04-29,3150000,서울특별시 강서구
개천절 대제전,사직동 단군성전,2025-11-22,20251122.0,2025-11-22,20251122.0,국조 단군의 개국을 기념하는 전통제례 봉행 및 부대행사,(사)현정회,(사)현정회,문화체육관광부+서울특별시+서울특별시 종로구,02-2148-1807,http://blog.naver.com/lgb301,,서울특별시 종로구 인왕산로 22,서울특별시 종로구 사직동 1-28,서울,37.5758942,126.9658016,2025-04-14,3000000,서울특별시 종로구
도심속바다축제,노량진축구장 및 야구장,2025-10-25,20251025.0,2025-10-26,20251026.0,문화예술공연+먹거리부스운영+체험프로그램,"서울특별시 동작구청 문화정책과, 수협노량진수산(주)","서울특별시 동작구청 문화정책과, 수협노량진수산(주)",서울특별시,02-820-9657,www.dongjak.go.kr,,서울특별시 동작구 노량진로 134,서울특별시 동작구 노량진동 62-8,서울,37.51336537,126.9408802,2025-04-29,3190000,서울특별시 동작구
도구로 가을 축제,도구머리공원,2025-10-25,20251025.0,2025-10-25,20251025.0,가을즐기기(단풍길 스케치북 및 포토존)+문화공연+체험부스 및 프리마켓 운영,방배2동 주민자치위원회,방배2동 주민자치위원회,,,https://www.mapo.go.kr/site/culture/index,,,서울특별시 서초구 방배동 산75-6,서울,,,2025-05-09,3210000,서울특별시 서초구
악기거리축제,서초동 악기거리 일대,2025-10-24,20251024.0,2025-10-24,20251024.0,작은음악회+거리콘서트+악기거리 마켓+체험행사 등,서울악기거리축제추진위원회,서울악기거리축제추진위원회,,,https://www.mapo.go.kr/site/culture/index,,서울특별시 서초구남부순환로317길,,서울,,,2025-05-09,3210000,서울특별시 서초구
말죽거리축제,양재 말죽거리 일대,2025-10-23,20251023.0,2025-10-24,20251024.0,마방체험+말죽거리 문화공연+주민노래자랑 및 퍼레이드,말죽거리소상공인연합회,말죽거리소상공인연합회,,,https://www.mapo.go.kr/site/culture/index,,서울특별시 서초구 남부순환로356길 15,,서울,,,2025-05-09,3210000,서울특별시 서초구
제23회 허준축제,서울식물원+마곡광장+마곡중앙로,2025-10-18,20251018.0,2025-10-19,20251019.0,허준콘서트+각종 의료건강 프로그램 운영,강서문화원,서울특별시 강서구,서울특별시+강서구의회,02-2600-6455,https://www.mapo.go.kr/site/culture/index,,서울특별시 강서구 마곡동로 161,,서울,,,2025-04-29,3150000,서울특별시 강서구
2025 금천하모니축제,금천구청 및 안양천 일대,2025-10-18,20251018.0,2025-10-19,20251019.0,공연+전시+체험+마켓 등,서울특별시 금천문화재단,서울특별시 금천구청,서울특별시청,02-2627-1442,https://gcfac.or.kr/content?gcfac_menu_cd=U0107,,서울특별시 금천구 시흥대로73길 70,서울특별시 금천구 시흥동 1020,서울,37.4570657,126.8960369,2025-06-20,3170000,서울특별시 금천구
동대문페스티벌,장한로 일대(우리은행 사거리~장안동사거리),2025-10-18,20251018.0,2025-10-19,20251019.0,"전 세대가 즐기는 이동무대극과 음악공연 및 도시공간을 새롭게 경험하는 캠핑, 정원, 마켓 등",재단법인 동대문문화재단,서울특별시 동대문구청,,02-2127-4711,https://www.mapo.go.kr/site/culture/index,,서울특별시 동대문구 장한로,,서울,,,2025-04-11,3050000,서울특별시 동대문구
